"Main use","Detailed use","Used part","crop_code"
"food & beverage","vitamins","fruits","289"
"food & beverage","minerals","fruits","289"
"food & beverage","protein","fruits","289"
"food & beverage","lipids","seeds","289"
"material","lipids/oil & fats","seeds","289"
"material","fibres","bark","289"
"medicinal","","fruits","289"
"food & beverage","vitamins","leaves","290"
"food & beverage","minerals","leaves","290"
"food & beverage","vitamins","bulbs","290"
"food & beverage","minerals","roots","290"
"environmental","ornamental/turf","entire plant","290"
"medicinal","","","290"
"environmental","ornamental/turf","entire plant","291"
"material","essential oils","seeds","291"
"medicinal","genitourinary system applications","seeds","291"
"medicinal","blood system applications","seeds","291"
"medicinal","digestive system applications","seeds","291"
"medicinal","nervous system applications","seeds","291"
"medicinal","genitourinary system applications","roots","291"
"medicinal","genitourinary system applications","leaves","291"
"material","dye/tannin","stems","295"
"material","timber wood","bark","295"
"material","other material/chemicals","bark","295"
"material","paper","bark","295"
"non-vertebrate food","minerals","leaves","295"
"fuels","fuelwood","bark","295"
"fuels","charcoal","bark","295"
"environmental","shade & shelter","entire plant","295"
"environmental","ornamental/turf","entire plant","295"
"environmental","revegetation","entire plant","295"
"environmental","agroforestry","entire plant","295"
"environmental","erosion control","entire plant","295"
"environmental","ornamental/turf","entire plant","297"
"environmental","shade & shelter","entire plant","297"
"environmental","erosion control","entire plant","297"
"material","dye/tannin","fruits","297"
"material","essential oils","flowers","297"
"material","gums/resins","exudates","297"
"material","cosmetics & perfumery","flowers","297"
"material","dye/tannin","stems","297"
"material","timber wood","bark","297"
"poison","mammals","seeds","297"
"medicinal","blood system applications","stems","297"
"medicinal","skin applications","stems","297"
"medicinal","muscular/skeletal applications","leaves","297"
"medicinal","muscular/skeletal applications","roots","297"
"medicinal","metabolic system applications","leaves","297"
"medicinal","metabolic system applications","roots","297"
"medicinal","digestive system applications","flowers","297"
"fuels","fuelwood","bark","297"
"animal food (feed)","protein","fruits","297"
"fuels","fuelwood","bark","298"
"fuels","charcoal","bark","298"
"environmental","shade & shelter","entire plant","298"
"environmental","windbreak","entire plant","298"
"environmental","revegetation","entire plant","298"
"environmental","nitrogen fixation","roots","298"
"environmental","ornamental/turf","entire plant","298"
"food & beverage","protein","seeds","318"
"food & beverage","lipids","seeds","318"
"food & beverage","vitamins","seeds","318"
"poison","mammals","seeds","318"
"food & beverage","protein","leaves","318"
"food & beverage","vitamins","leaves","318"
"animal food (feed)","protein","leaves","318"
"animal food (feed)","vitamins","leaves","318"
"material","timber wood","bark","318"
"medicinal","blood system applications","leaves","318"
"medicinal","muscular/skeletal applications","leaves","318"
"medicinal","digestive system applications","stems","318"
"medicinal","immune system applications","stems","318"
"medicinal","sensory applications","bark","318"
"fuels","fuelwood","bark","318"
"environmental","shade & shelter","entire plant","318"
"environmental","ornamental/turf","entire plant","318"
"environmental","manure/fertilizer","leaves","318"
"animal food (feed)","vitamins","entire plant","326"
"animal food (feed)","minerals","entire plant","326"
"material","timber wood","bark","329"
"environmental","pioneer","entire plant","331"
"material","timber wood","bark","333"
"material","fibres","leaves","339"
"environmental","agroforestry","entire plant","339"
"animal food (feed)","vitamins","leaves","347"
"animal food (feed)","minerals","leaves","347"
"material","timber wood","bark","347"
"material","fibres","bark","347"
"material","paper","bark","347"
"fuels","fuelwood","bark","347"
"fuels","charcoal","bark","347"
"environmental","revegetation","entire plant","347"
"environmental","shade & shelter","entire plant","347"
"environmental","agroforestry","entire plant","347"
"environmental","ornamental/turf","entire plant","347"
"animal food (feed)","vitamins","leaves","349"
"animal food (feed)","minerals","leaves","349"
"material","gums/resins","exudates","349"
"material","dye/tannin","stems","349"
"material","timber wood","bark","349"
"material","honey","flowers","349"
"fuels","fuelwood","bark","349"
"fuels","charcoal","bark","349"
"medicinal","","entire plant","349"
"environmental","shade & shelter","entire plant","349"
"environmental","erosion control","entire plant","349"
"environmental","ornamental/turf","entire plant","349"
"environmental","manure/fertilizer","leaves","349"
"environmental","nitrogen fixation","roots","349"
"material","timber wood","bark","350"
"material","dye/tannin","stems","350"
"fuels","fuelwood","bark","350"
"fuels","charcoal","bark","350"
"environmental","shade & shelter","entire plant","350"
"environmental","firebreaks","entire plant","350"
"environmental","revegetation","entire plant","350"
"environmental","erosion control","entire plant","350"
"environmental","nitrogen fixation","roots","350"
"material","timber wood","bark","352"
"environmental","shade & shelter","entire plant","352"
"material","lipids/oil & fats","seeds","353"
"environmental","manure/fertilizer","seeds","353"
"fuels","petroleum substitutes/alcohol","seeds","353"
"material","lipids/oil & fats","seeds","354"
"food & beverage","lipids","seeds","354"
"food & beverage","minerals","seeds","354"
"poison","mammals","seeds","354"
"material","timber wood","bark","354"
"material","dye/tannin","stems","354"
"fuels","fuelwood","bark","354"
"medicinal","digestive system applications","seeds","354"
"medicinal","sensory applications","seeds","354"
"medicinal","muscular/skeletal applications","seeds","354"
"medicinal","immune system applications","seeds","354"
"medicinal","digestive system applications","stems","354"
"medicinal","sensory applications","leaves","354"
"medicinal","genitourinary system applications","leaves","354"
"environmental","shade & shelter","entire plant","354"
"environmental","ornamental/turf","entire plant","354"
"environmental","manure/fertilizer","seeds","354"
"fuels","petroleum substitutes/alcohol","seeds","354"
"material","lipids/oil & fats","seeds","355"
"environmental","manure/fertilizer","seeds","355"
"fuels","petroleum substitutes/alcohol","seeds","355"
"food & beverage","vitamins","entire plant","363"
"food & beverage","minerals","entire plant","363"
"food & beverage","vitamins","entire plant","364"
"medicinal","digestive system applications","entire plant","364"
"medicinal","immune system applications","entire plant","364"
"medicinal","blood system applications","entire plant","364"
"medicinal","skin applications","entire plant","364"
"medicinal","sensory applications","entire plant","364"
"medicinal","respiratory applications","entire plant","364"
"medicinal","muscular/skeletal applications","entire plant","364"
"food & beverage","vitamins","entire plant","365"
"food & beverage","minerals","entire plant","365"
"food additive","condiment/seasoning","leaves","367"
"medicinal","immune system applications","leaves","367"
"medicinal","blood system applications","leaves","367"
"medicinal","digestive system applications","leaves","367"
"medicinal","nervous system applications","leaves","367"
"medicinal","muscular/skeletal applications","leaves","367"
"medicinal","skin applications","leaves","367"
"medicinal","nutritional applications","leaves","367"
"material","timber wood","bark","379"
"material","paper","bark","379"
"material","fibres","stems","379"
"material","essential oils","flowers","379"
"medicinal","sensory applications","stems","379"
"medicinal","dental applications","exudates","379"
"medicinal","digestive system applications","stems","379"
"medicinal","endocrine system applications","leaves","379"
"fuels","fuelwood","bark","379"
"fuels","charcoal","bark","379"
"environmental","ornamental/turf","entire plant","379"
"food & beverage","protein","seeds","390"
"food & beverage","vitamins","leaves","390"
"animal food (feed)","protein","entire plant","390"
"animal food (feed)","vitamins","leaves","390"
"environmental","ornamental/turf","entire plant","390"
"fuels","non-wood fuel","bark","390"
"food & beverage","vitamins","leaves","391"
"food & beverage","minerals","leaves","391"
"food & beverage","protein","seeds","391"
"food & beverage","minerals","seeds","391"
"material","fibres","bark","391"
"food & beverage","vitamins","roots","400"
"food & beverage","minerals","roots","400"
"food & beverage","vitamins","leaves","400"
"food & beverage","minerals","leaves","400"
"food & beverage","vitamins","fruits","401"
"food & beverage","minerals","fruits","401"
"food & beverage","protein","seeds","401"
