"crop_code","species","Life.form","Habit","Life.span","Physiology","Category","Plant.attributes","temp_opt_min","Temp_Opt_Max","Temp_Abs_Min","Temp_Abs_Max","Rain_Opt_Min","Rain_Opt_Max","Rain_Abs_Min","Rain_Abs_Max","Lat_Opt_Min","Lat_Opt_Max","Lat_Abs_Min","Lat_Abs_Max","Alt_Opt_Min","Alt_Opt_Max","Alt_Abs_Min","Alt_Abs_Max","pH_Opt_Min","pH_Opt_Max","pH_Abs_Min","pH_Abs_Max","Light_Opt_Min","Light_Opt_Max","Light_Abs_Min","Light_Abs_Max","Depth_Opt","Depth_Abs","Texture_Ops","Texture_Abs","Fertility_Ops","Fertility_Abs","Al_Toxicity_Opt","Al_Toxicity_Abs","Salinity_Ops","Salinity_Abs","drainage_opt","drainage_abs","Climate.Zone","photoperiod","Killing.temp..during.rest","Killing.temp..early.growth","Abiotic.toler.","Abiotic.suscept.","Introduction.risks.","Product..system","Cropping.system","Subsystem","Companion.species","Level.of.mechanization","Labour.intensity","cycle_min","cycle_max","use.main","use.detailed","use.part","datasheet_url"
"289","Abelmoschus esculentus","herb","erect","annual","single stem","vegetables","grown on large scale","20","30","12","35","600","1200","300","2500","-","-","35","40","---","---","-","1000","5.5","7","4.5","8.7","clear skies","clear skies","very bright","cloudy skies","shallow (20-50 cm)","shallow (20-50 cm)","heavy, medium, light, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), steppe or semiarid (Bs), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","50","180","food & beverage","vitamins","fruits","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=289"
"290","Abelmoschus manihot","shrub","erect","annual, perennial","","vegetables, ornamentals/turf, medicinals & aromatic","grown on small scale","22","30","16","36","1200","2000","1000","3000","-","-","-","-","---","---","-","1200","5.5","7","5","8","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","medium (50-150 cm)","medium, organic","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","long day (>14 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","365","365","food & beverage","vitamins","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=290"
"291","Abelmoschus moschatus","herb, sub-shrub","prostrate/procumbent/semi-erect","annual, biennial, perennial","deciduous, multi stem","ornamentals/turf, medicinals & aromatic","","20","30","10","35","1000","1400","900","1500","-","-","23","29","---","---","-","900","5.5","7","5","8","cloudy skies","very bright","light shade","very bright","medium (50-150 cm)","shallow (20-50 cm)","medium, organic","medium, organic","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw)","","no input","no input","","","can become a weed","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","0","0","environmental","ornamental/turf","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=291"
"295","Acacia auriculiformis","tree","erect","perennial","single stem","forest/wood","grown on large scale","24","32","10","40","1200","2500","500","5000","10","7","17","20","---","---","-","600","6","8","3","9.5","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","low","low","","","low (<4 dS/m)","medium (4-10 dS/m)","poorly (saturated >50% of year), well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours)","no input","no input","fire, drought","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","180","240","material","dye/tannin","stems","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=295"
"297","Acacia farnesiana","tree","erect","perennial","single stem","materials, ornamentals/turf, medicinals & aromatic, environmental","grown on small scale","20","32","7","42","400","1400","150","4000","12","12","36","36","---","---","-","1300","6.5","7","4.3","8","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","low","low","","","low (<4 dS/m)","high (>10 dS/m))","well (dry spells), excessive (dry/moderately dry)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical dry summer (Cs)","short day (<12 hours)","no input","no input","","","can become a weed","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","240","environmental","ornamental/turf","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=297"
"298","Acacia holosericea","shrub, tree","erect","perennial","single stem, multi stem","ornamentals/turf, forest/wood, environmental","grown on small scale","24","32","12","45","600","1200","250","1600","13","11","22","24","---","---","-","750","5.5","7.5","4.5","8.5","very bright","very bright","very bright","clear skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs)","short day (<12 hours)","-1","-1","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","120","300","fuels","fuelwood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=298"
"299","Acacia mellifera",NA,NA,NA,NA,NA,NA,"-","-","-","-","-","-","-","-","-","-","-","-","---","---","-","-","-","-","-","-","","","","","","","","","","","","","","","","","","","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","0","0",NA,NA,NA,"http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=299"
"318","Adenanthera pavonina","tree","erect","perennial","deciduous, single stem","forage/pasture, vegetables, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental","","22","28","12","36","3000","5000","2000","6000","-","-","30","35","---","---","-","400","5","7","4.5","7.5","cloudy skies","clear skies","light shade","very bright","deep (>>150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light, wide, organic","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","","no input","no input","","wind","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","365","365","food & beverage","protein","seeds","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=318"
"326","Aeschynomene americana","shrub","erect","annual, perennial","multi stem","forage/pasture","grown on large scale, grown on small scale","22","30","7","35","1000","1500","600","4000","-","-","30","30","---","---","-","2800","5.5","7","4","8","clear skies","clear skies","very bright","cloudy skies","shallow (20-50 cm)","shallow (20-50 cm)","heavy, medium, light","heavy, medium, light","moderate","moderate","","","low (<4 dS/m)","low (<4 dS/m)","poorly (saturated >50% of year)","poorly (saturated >50% of year), well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar), subtropical humid (Cf)","short day (<12 hours)","no input","no input","drought, flooding","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","60","220","animal food (feed)","vitamins","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=326"
"329","Agathis australis","tree","erect","perennial","evergreen, single stem","forest/wood","","14","24","5","32","1200","1600","1000","2000","34","34","38","38","---","---","-","400","4.8","5.5","4.5","6.5","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium, light","heavy, medium, light","high","moderate","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","subtropical humid (Cf)","short day (<12 hours), neutral day (12-14 hours), long day (>14 hours)","-17","-1","","wind","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","150","240","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=329"
"331","Agathis macrophylla","tree","erect","perennial","evergreen, single stem","environmental","harvested from wild","22","32","10","40","4000","5000","2000","7000","-","-","-","-","---","---","-","480","4.5","6","4","6.5","very bright","clear skies","very bright","light shade","deep (>>150 cm)","medium (50-150 cm)","heavy, medium","heavy, medium, light","moderate","","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet (Ar)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","300","365","environmental","pioneer","entire plant","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=331"
"333","Agathis robusta","tree","erect","perennial","evergreen, single stem","forest/wood","harvested from wild","18","30","6","38","1500","3000","900","5000","15","15","27","27","---","---","-","900","5.5","7","4.2","8.1","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), subtropical humid (Cf)","short day (<12 hours)","-2","0","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","210","300","material","timber wood","bark","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=333"
"339","Agave sisalana","herb","erect, acaulescent (or rosette plants)","perennial","evergreen, single stem","materials, environmental","grown on large scale","15","27","10","45","900","1250","500","1800","10","10","25","25","---","---","-","2000","6","7.5","5.5","8","very bright","clear skies","very bright","cloudy skies","medium (50-150 cm)","shallow (20-50 cm)","medium, light","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), subtropical humid (Cf), subtropical dry summer (Cs), subtropical dry winter (Cw)","short day (<12 hours)","-5","-5","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","150","270","material","fibres","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=339"
"347","Albizia falcataria","tree","erect","perennial","deciduous, single stem","materials, forest/wood, environmental","grown on small scale","22","31","17","40","2000","4000","1000","5500","-","-","5","10","---","---","-","2000","5.5","7.3","4.5","8.5","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","heavy, medium","heavy, medium, light","moderate","low","","","low (<4 dS/m)","low (<4 dS/m)","well (dry spells)","well (dry spells)","tropical wet & dry (Aw), tropical wet (Ar)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","270","365","animal food (feed)","vitamins","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=347"
"349","Albizia lebbeck","tree","erect","perennial","deciduous, single stem","forage/pasture, materials, ornamentals/turf, medicinals & aromatic, forest/wood, environmental","grown on large scale","26","36","12","48","600","2000","500","2500","11","11","27","27","---","---","-","1600","6","7","5.5","8.5","very bright","clear skies","very bright","cloudy skies","deep (>>150 cm)","medium (50-150 cm)","medium","heavy, medium, light","low","low","","","low (<4 dS/m)","medium (4-10 dS/m)","well (dry spells)","poorly (saturated >50% of year), well (dry spells), excessive (dry/moderately dry)","tropical wet & dry (Aw), steppe or semiarid (Bs), subtropical humid (Cf)","short day (<12 hours)","no input","no input","","","","","Cropping system","Subsystem","Companion species","Level of mechanization","Labour intensity","180","300","animal food (feed)","vitamins","leaves","http://ecocrop.fao.org/ecocrop/srv/en/dataSheet?id=349"
